Categories,Descriptions,PdDistricts,Months,Day,TimeOfDay,ZipCode,Resolutions
1,25,7,4,2,0,94104,1
2,30,7,4,1,3,94103,0
8,25,7,4,1,3,94103,0
1,25,7,4,0,0,94105,1
0,35,4,0,1,0,94102,1
0,3,2,4,0,2,94127,1
0,25,8,4,5,3,94116,1
15,39,3,4,6,2,94114,0
5,25,8,4,5,2,94116,1
8,25,7,4,6,2,94103,0
15,39,7,4,6,2,94103,0
0,35,1,4,5,0,94104,1
4,27,6,4,6,2,94118,0
8,37,6,4,2,0,94115,0
6,2,7,4,2,0,94103,1
9,25,5,4,2,0,94115,0
0,25,5,4,2,0,94115,0
8,25,5,4,2,0,94115,0
0,25,2,4,3,0,94112,0
12,38,1,4,1,0,94104,0
0,4,1,4,1,0,94108,0
0,25,1,4,1,0,94108,0
4,27,2,4,6,0,94110,1
2,25,5,4,4,1,94117,0
15,39,5,4,4,1,94117,0
6,25,5,4,4,1,94117,0
10,6,1,4,1,0,94108,0
9,25,3,4,6,3,94110,1
3,25,1,4,2,2,94104,1
8,7,0,4,6,3,94124,0
7,25,3,4,6,3,94110,0
7,25,3,4,6,3,94110,0
14,25,7,4,1,1,94103,1
11,18,3,4,1,0,94102,1
8,7,9,4,6,3,94103,0
1,25,3,4,3,3,94110,1
8,25,8,4,2,0,94127,1
4,25,4,4,6,3,94123,1
3,5,4,4,6,3,94123,1
14,33,1,4,1,2,94109,1
6,11,1,4,6,2,94108,1
8,25,5,4,6,0,94117,0
1,25,0,4,6,2,94124,1
12,38,0,0,2,3,94124,0
7,25,0,0,2,3,94110,1
7,25,0,0,2,3,94110,1
7,25,6,0,2,3,94118,1
3,25,1,4,2,1,94111,1
8,25,7,4,2,1,94104,0
15,25,2,4,2,1,94110,1
8,7,4,4,2,1,94102,0
6,25,3,4,2,1,94114,1
4,13,4,4,1,0,94102,1
0,35,2,4,1,1,94112,1
4,27,1,4,3,0,94104,1
11,34,8,4,1,1,94116,1
10,25,5,4,1,1,94117,1
6,1,0,7,1,0,94134,1
0,25,2,7,6,2,94112,1
14,32,1,0,2,2,94108,1
15,8,2,8,3,2,94134,0
13,25,3,4,6,1,94110,1
1,25,4,4,3,3,94117,1
13,21,4,4,3,3,94117,1
14,32,4,4,2,1,94102,1
6,1,2,4,3,2,94127,1
1,25,4,4,3,3,94123,0
12,38,6,4,5,2,94122,0
14,32,5,4,1,1,94114,1
8,20,8,4,3,1,94122,1
6,25,8,4,3,1,94122,1
5,10,7,4,6,0,94103,1
4,13,5,4,4,0,94118,1
15,39,3,8,5,3,94117,0
0,25,7,8,5,3,94103,1
2,25,9,4,4,1,94103,0
4,13,0,4,4,1,94124,1
6,11,0,4,4,1,94124,1
1,25,2,4,6,2,94110,1
5,24,5,4,5,0,94117,1
4,15,0,4,0,2,94124,1
15,39,4,4,5,0,94123,0
6,2,4,4,5,0,94117,1
6,25,9,4,1,0,94103,0
6,2,7,4,1,0,94103,1
0,3,3,4,5,3,94110,1
14,32,7,0,5,3,94102,1
6,19,9,8,5,3,94108,1
0,3,9,8,5,2,94103,0
0,3,7,4,3,0,94105,1
4,27,5,4,3,1,94115,1
4,14,7,4,4,0,94103,1
6,2,7,4,4,1,94103,1
14,32,2,4,4,1,94112,1
1,25,8,4,0,3,94132,1
2,25,4,3,1,2,94102,0
8,31,4,3,1,2,94102,0
1,25,3,4,5,3,94102,1
8,7,8,4,4,1,94122,0
5,24,3,4,2,0,94110,1
5,10,3,4,2,0,94110,1
0,25,4,4,3,1,94102,0
14,25,0,4,5,1,94124,1
14,32,0,4,5,1,94124,1
6,11,4,4,5,1,94102,1
8,20,8,4,3,2,94116,1
6,25,8,4,3,2,94116,1
8,7,6,4,0,3,94118,0
7,25,6,4,0,3,94118,0
9,25,3,4,0,3,94110,1
4,26,9,4,5,1,94108,1
7,25,3,4,5,3,94110,1
4,29,7,4,5,0,94103,0
9,25,2,4,6,1,94110,1
7,25,2,4,6,1,94110,1
7,25,2,4,6,1,94110,1
0,25,2,4,6,1,94110,1
11,18,2,4,0,3,94134,0
14,32,1,4,4,1,94104,1
4,14,2,4,0,3,94112,1
0,25,7,4,0,2,94103,0
0,17,4,4,3,1,94102,0
4,27,1,4,5,1,94108,1
4,12,3,4,3,2,94110,1
7,25,0,4,3,3,94110,1
11,18,3,4,5,1,94110,1
4,27,3,4,5,0,94114,1
4,26,5,4,4,2,94117,1
3,25,5,4,4,2,94117,1
1,25,2,4,5,2,94112,1
6,2,3,4,5,1,94131,1
0,35,2,4,6,1,94110,1
7,25,2,4,6,1,94110,1
4,13,1,4,4,0,94111,1
16,25,3,4,4,1,94110,1
15,39,7,8,5,1,94105,0
7,25,4,4,4,0,94109,1
1,25,7,4,5,3,94102,1
11,34,3,4,4,0,94102,1
15,39,0,4,0,2,94124,0
7,25,2,4,0,0,94112,0
7,25,2,4,0,0,94112,0
4,25,8,4,3,3,94122,1
15,39,7,4,0,0,94102,0
0,17,0,4,2,2,94124,1
3,25,4,0,3,2,94109,1
4,13,1,4,0,2,94111,1
4,13,7,4,4,1,94103,1
2,25,3,4,0,2,94110,0
2,25,3,4,0,2,94110,0
3,5,1,4,5,1,94108,1
6,19,1,4,5,1,94108,1
14,33,1,4,5,1,94111,1
